Date,Open,High,Low,Close,Adj Close,Volume,Year
7/13/2017,163,166.300003,158.75,160.630005,160.377289,34228300,2017
7/14/2017,161.289993,165.009995,161.009995,164.949997,164.690475,23548700,2017
7/17/2017,166.330002,167.5,161.75,164.25,163.991577,23269800,2017
7/18/2017,161.779999,166.550003,161.300003,165.960007,165.698898,19416000,2017
7/19/2017,166.330002,167.399994,164.610001,165.100006,164.840256,17176100,2017
7/20/2017,165.929993,167.509995,163.910004,167.5,167.236465,17489900,2017
7/21/2017,166.669998,169.300003,166.089996,168.100006,167.835526,16208300,2017
7/24/2017,168.389999,168.779999,165.720001,166.149994,165.888596,16313100,2017
7/25/2017,165.220001,165.929993,163.580002,165.350006,165.089859,12413900,2017
7/26/2017,167.679993,169.929993,165.850006,167.259995,166.996841,16010100,2017
7/27/2017,168.270004,168.740005,157.559998,161.740005,161.485535,19571400,2017
7/28/2017,160.289993,165.380005,159.279999,164.389999,164.131363,12833700,2017
7/31/2017,164.940002,166.399994,160.619995,162.509995,162.254318,13991800,2017
8/1/2017,162.130005,164.559998,161,164.490005,164.231201,10784600,2017
8/2/2017,165.75,165.910004,161.270004,164.389999,164.131363,11961100,2017
8/3/2017,164.369995,166.630005,163.679993,166.479996,166.218079,11060500,2017
8/4/2017,167.399994,170.070007,166.479996,167.210007,166.946945,14727400,2017
8/7/2017,168.389999,172.369995,168,172.350006,172.078842,17935300,2017
8/8/2017,173.889999,174.559998,168.710007,170.300003,170.032059,18883400,2017
8/9/2017,168.429993,172.210007,167.669998,172.110001,171.839218,13269600,2017
8/10/2017,172.160004,172.660004,164.330002,164.740005,164.48082,33202200,2017
8/11/2017,157.139999,159,152.910004,155.960007,155.71463,37429900,2017
8/14/2017,159.669998,168.550003,159.199997,168.399994,168.135056,31818000,2017
8/15/2017,168.610001,169.669998,165.589996,166.979996,166.717285,19113300,2017
8/16/2017,167.589996,168.539993,163.839996,165.149994,164.890152,14915800,2017
8/17/2017,164.809998,165.5,161.380005,161.470001,161.215973,13136100,2017
8/18/2017,163.669998,164.360001,159.639999,161.5,161.245911,15030100,2017
8/21/2017,162.490005,162.949997,157.369995,159.149994,158.899597,15591800,2017
8/22/2017,160.490005,162.789993,159.710007,162.550003,162.437149,11261400,2017
8/23/2017,161.199997,166.25,160.850006,165.800003,165.684891,14488000,2017
8/24/2017,167.100006,167.279999,164.119995,165.190002,165.075317,11742500,2017
8/25/2017,166.169998,166.580002,163.550003,163.809998,163.696274,8930000,2017
8/28/2017,164.580002,165.100006,162.330002,164.970001,164.855469,9737400,2017
8/29/2017,162.589996,165.580002,162.259995,164.699997,164.585648,8102400,2017
8/30/2017,165.5,166.130005,164.270004,165.679993,165.564972,9610000,2017
8/31/2017,166.5,169.600006,166.199997,169.440002,169.322357,15317100,2017
9/1/2017,169.949997,171.899994,169.600006,170.460007,170.34166,11135800,2017
9/5/2017,168.380005,168.580002,163.559998,165.910004,165.794815,17384100,2017
9/6/2017,167.240005,167.800003,164.399994,165.809998,165.694885,9941800,2017
9/7/2017,166.490005,167.889999,164.949997,166.580002,166.464355,8821700,2017
9/8/2017,166.110001,166.710007,162.710007,163.690002,163.576355,12471400,2017
9/11/2017,165.539993,169.429993,165.320007,169,168.88266,14186100,2017
9/12/2017,170,170,166.970001,169.610001,169.492249,10287200,2017
9/13/2017,168.589996,171.539993,167.279999,170.369995,170.251709,14524000,2017
9/14/2017,168.789993,172.559998,167.800003,169.399994,169.282379,12842800,2017
9/15/2017,172.860001,180.110001,172.649994,180.110001,179.984955,34119800,2017
9/18/2017,185.139999,191.199997,184.860001,187.550003,187.419785,42111500,2017
